timestamp,date,permanent_jobs,interim_jobs,total_jobs,sectors_count,locations_count,wayback_url
20151207031149,2015-12-07 03:11:49,632,27,659,14,18,https://web.archive.org/web/20151207031149/https://www.theactuaryjobs.com/jobs/#browsing
20160202113756,2016-02-02 11:37:56,787,33,820,14,18,https://web.archive.org/web/20160202113756/https://www.theactuaryjobs.com/jobs/#browsing
20160205184136,2016-02-05 18:41:36,786,43,829,14,6,https://web.archive.org/web/20160205184136/https://www.theactuaryjobs.com/jobs/#browsing
20160304053501,2016-03-04 05:35:01,680,44,724,14,6,https://web.archive.org/web/20160304053501/https://www.theactuaryjobs.com/jobs/#browsing
20160326221807,2016-03-26 22:18:07,652,58,710,14,6,https://web.archive.org/web/20160326221807/https://www.theactuaryjobs.com/jobs/#browsing
20160404060645,2016-04-04 06:06:45,666,50,716,14,6,https://web.archive.org/web/20160404060645/https://www.theactuaryjobs.com/jobs/#browsing
20160406100420,2016-04-06 10:04:20,709,48,757,14,7,https://web.archive.org/web/20160406100420/https://www.theactuaryjobs.com/jobs/#browsing
20160408173602,2016-04-08 17:36:02,729,54,783,14,7,https://web.archive.org/web/20160408173602/https://www.theactuaryjobs.com/jobs/#browsing
20160424090130,2016-04-24 09:01:30,702,50,752,14,7,https://web.archive.org/web/20160424090130/https://www.theactuaryjobs.com/jobs/#browsing
20160429071858,2016-04-29 07:18:58,750,45,795,14,8,https://web.archive.org/web/20160429071858/https://www.theactuaryjobs.com/jobs/#browsing
20160505003901,2016-05-05 00:39:01,729,51,780,14,7,https://web.archive.org/web/20160505003901/https://www.theactuaryjobs.com/jobs/#browsing
20160529152448,2016-05-29 15:24:48,781,39,820,14,6,https://web.archive.org/web/20160529152448/https://www.theactuaryjobs.com/jobs/#browsing
20160606085906,2016-06-06 08:59:06,741,38,779,14,6,https://web.archive.org/web/20160606085906/https://www.theactuaryjobs.com/jobs/#browsing
20160630034305,2016-06-30 03:43:05,720,65,785,14,7,https://web.archive.org/web/20160630034305/https://www.theactuaryjobs.com/jobs/#browsing
20160731101126,2016-07-31 10:11:26,695,43,738,14,7,https://web.archive.org/web/20160731101126/https://www.theactuaryjobs.com/jobs/#browsing
20160806101638,2016-08-06 10:16:38,745,44,789,14,7,https://web.archive.org/web/20160806101638/https://www.theactuaryjobs.com/jobs/#browsing
20160902135928,2016-09-02 13:59:28,679,50,729,14,7,https://web.archive.org/web/20160902135928/https://www.theactuaryjobs.com/jobs/#browsing
20161004073853,2016-10-04 07:38:53,730,45,775,14,6,https://web.archive.org/web/20161004073853/https://www.theactuaryjobs.com/jobs/#browsing
20161005201009,2016-10-05 20:10:09,754,45,799,14,6,https://web.archive.org/web/20161005201009/https://www.theactuaryjobs.com/jobs/#browsing
20161008100345,2016-10-08 10:03:45,708,41,749,14,7,https://web.archive.org/web/20161008100345/https://www.theactuaryjobs.com/jobs/#browsing
20161106111553,2016-11-06 11:15:53,728,42,770,14,7,https://web.archive.org/web/20161106111553/https://www.theactuaryjobs.com/jobs/#browsing
20161107190414,2016-11-07 19:04:14,753,44,797,14,7,https://web.archive.org/web/20161107190414/https://www.theactuaryjobs.com/jobs/#browsing
20161130232025,2016-11-30 23:20:25,738,45,783,14,5,https://web.archive.org/web/20161130232025/https://www.theactuaryjobs.com/jobs/#browsing
20161210111224,2016-12-10 11:12:24,701,38,739,14,18,https://web.archive.org/web/20161210111224/https://www.theactuaryjobs.com/jobs/#browsing
20161221053500,2016-12-21 05:35:00,672,49,721,14,18,https://web.archive.org/web/20161221053500/https://www.theactuaryjobs.com/jobs/#browsing
20170209105657,2017-02-09 10:56:57,729,63,792,14,18,https://web.archive.org/web/20170209105657/https://www.theactuaryjobs.com/jobs/#browsing
20170320080119,2017-03-20 08:01:19,781,56,837,14,18,https://web.archive.org/web/20170320080119/https://www.theactuaryjobs.com/jobs/#browsing
20170411213632,2017-04-11 21:36:32,844,51,895,14,18,https://web.archive.org/web/20170411213632/https://www.theactuaryjobs.com/jobs/#browsing
20170508164402,2017-05-08 16:44:02,801,46,847,14,18,https://web.archive.org/web/20170508164402/https://www.theactuaryjobs.com/jobs/#browsing
20170603163211,2017-06-03 16:32:11,822,53,875,14,18,https://web.archive.org/web/20170603163211/https://www.theactuaryjobs.com/jobs/#browsing
20170606062914,2017-06-06 06:29:14,797,53,850,14,18,https://web.archive.org/web/20170606062914/https://www.theactuaryjobs.com/jobs/#browsing
20170609034023,2017-06-09 03:40:23,779,59,838,14,18,https://web.archive.org/web/20170609034023/https://www.theactuaryjobs.com/jobs/#browsing
20170611162617,2017-06-11 16:26:17,769,59,828,14,18,https://web.archive.org/web/20170611162617/https://www.theactuaryjobs.com/jobs/#browsing
20170703172628,2017-07-03 17:26:28,774,61,835,14,18,https://web.archive.org/web/20170703172628/https://www.theactuaryjobs.com/jobs/#browsing
20170704142231,2017-07-04 14:22:31,786,63,849,14,18,https://web.archive.org/web/20170704142231/https://www.theactuaryjobs.com/jobs/#browsing
20170707034901,2017-07-07 03:49:01,784,58,842,14,18,https://web.archive.org/web/20170707034901/https://www.theactuaryjobs.com/jobs/#browsing
20170808174306,2017-08-08 17:43:06,732,65,797,14,18,https://web.archive.org/web/20170808174306/https://www.theactuaryjobs.com/jobs/#browsing
20170811151311,2017-08-11 15:13:11,772,70,842,14,18,https://web.archive.org/web/20170811151311/https://www.theactuaryjobs.com/jobs/#browsing
20170921031012,2017-09-21 03:10:12,697,62,759,14,18,https://web.archive.org/web/20170921031012/https://www.theactuaryjobs.com/jobs/#browsing
20171007220329,2017-10-07 22:03:29,669,65,734,14,18,https://web.archive.org/web/20171007220329/https://www.theactuaryjobs.com/jobs/#browsing
20171106051959,2017-11-06 05:19:59,684,40,724,14,18,https://web.archive.org/web/20171106051959/https://www.theactuaryjobs.com/jobs/#browsing
20171206201507,2017-12-06 20:15:07,707,69,776,14,18,https://web.archive.org/web/20171206201507/https://www.theactuaryjobs.com/jobs/#browsing
20180111144615,2018-01-11 14:46:15,650,53,703,14,18,https://web.archive.org/web/20180111144615/https://www.theactuaryjobs.com/jobs/#browsing
20190331040029,2019-03-31 04:00:29,803,106,909,14,18,https://web.archive.org/web/20190331040029/https://www.theactuaryjobs.com/jobs/#browsing
20190401024221,2019-04-01 02:42:21,801,105,906,14,18,https://web.archive.org/web/20190401024221/https://www.theactuaryjobs.com/jobs/#browsing
20190902082253,2019-09-02 08:22:53,803,71,874,14,18,https://web.archive.org/web/20190902082253/https://www.theactuaryjobs.com/jobs/#browsing
20190926212753,2019-09-26 21:27:53,796,86,882,14,18,https://web.archive.org/web/20190926212753/https://www.theactuaryjobs.com/jobs/#browsing
20200421123253,2020-04-21 12:32:53,423,22,445,14,18,https://web.archive.org/web/20200421123253/https://www.theactuaryjobs.com/jobs/#browsing
20200921160923,2020-09-21 16:09:23,499,44,543,14,16,https://web.archive.org/web/20200921160923/https://www.theactuaryjobs.com/jobs/#browsing
